ntoskrnlVersion,PspCreateProcessNotifyRoutineOffset,PspCreateThreadNotifyRoutineOffset,PspLoadImageNotifyRoutineOffset,_PS_PROTECTIONOffset,EtwThreatIntProvRegHandleOffset,EtwRegEntry_GuidEntryOffset,EtwGuidEntry_ProviderEnableInfoOffset,PsProcessType,PsThreadType,CallbackList
ae91f8ae236e97cf0c4a54d6e8732e87b76041eecb6f54929ae77dc404a15058,503da0,5039a0,503ba0,6fa,432c38,20,60,572390,5723b8,c8
c17b8e328205cef5c7dae5d23deb93f25e41476846ab58e37d10cffd1df1615b,500de0,5009e0,500be0,6fa,42f9e8,20,50,56f390,56f3b8,c8
224160cf9b03cf728cc6d129064313104215a7090feec24e3514acf0427e9059,503da0,5039a0,503ba0,6fa,432c38,20,60,572390,5723b8,c8
ad852e73217adcdd8b9ae72e29887688a2b9923bc2b2b36a8ee3c2fc8593949d,503ba0,503da0,5039a0,6fa,432c38,20,60,572390,5723b8,c8
0002faa2554ea030e52d775bf348a1776d383a0e7cd3a78aecd769f779668a71,503da0,5039a0,503ba0,6fa,432c38,20,60,572390,5723b8,c8
6e1e3a390cdabe7fc46d6ddbdead7cf5861bf48a0a738f7ecd3ce864f7d37c02,503e20,503a20,503c20,6fa,432c78,20,60,572390,5723b8,c8
c2a8f5cf7b94b6b8fa3e9dde1d765d053500ee7e774517974d661e90d61d03bc,503b60,503d60,503960,6fa,432c18,20,60,572390,5723b8,c8
3b63198ebefd1730f6b13cb8ae0835f6d01af3b06cd5dc8317e79662fc287323,503e20,503a20,503c20,6fa,432c78,20,60,572390,5723b8,c8
c19d63855583899b6e46f4d884c22398549a70da4df08ba33a9231a35397c0be,503e20,503a20,503c20,6fa,432c78,20,60,572390,5723b8,c8
50980e5cafe3ea978d907d278e8d92d914905e5f12717bfd8591d73e733f3b5d,503e20,503a20,503c20,6fa,432c78,20,60,572390,5723b8,c8
3926432d68db7f8b426887471721cb0449615069b7b23142623721b6f9df97c7,503e20,503a20,503c20,6fa,432c78,20,60,572390,5723b8,c8
70990afea2a55c3eb207c1356da5fe09d157ed623b401fbb53dc789855e21d85,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
8d76c2696fa931f5defde393d4ce441f59bb28d0a59048e737906e3b24664f23,502da0,5029a0,502ba0,6fa,431bf8,20,60,571390,5713b8,c8
92018427e9190890940a33f67354ce8a8d2f6f4f03191a7ca81f8bae34461eaa,503ce0,503ee0,503ae0,6fa,432c38,20,60,572390,5723b8,c8
8fb9651b51329d2a38510a0b092a6fd4a735fe22a958b305af910f0c5195a138,503ba0,503da0,5039a0,6fa,432c58,20,60,572390,5723b8,c8
805ed5232a97dfdfc61a29e59fb8cbbedbe50b142f013e333f1e60da560dbd7b,503ba0,503da0,5039a0,6fa,432c50,20,60,572390,5723b8,c8
59f2ff479b277f5abae48b0dadac7631468e646c8c1224dcaecef66cffac6d56,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
3cc4f692fccb6a5e95579168a91259ecec3e3d53cbf4b791553ce94888fc9728,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
9070003a325f389812a6df6a5ae9f99f9ab20a9bb7e04ac43699c6136709b531,500de0,5009e0,500be0,6fa,42fa48,20,50,56f390,56f3b8,c8
fa9f3fd7b32f81f86677b457a0f1019a13d5f0d6de026c31d9d6fd5706b94097,503ba0,503da0,5039a0,6fa,432c50,20,60,572390,5723b8,c8
38d6d1ca3c4132d94b66a29c2e6467a3c75c96276e7a951d0f8660eb627a2727,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
aa0bddbd4b1eef2b825c9eb603d6584e52d6aa73dbf473cf0765a1c63328be7b,503f60,503b60,503d60,6fa,432c60,20,50,572390,5723b8,c8
96880d2301204dd76b315ab35ae17e962ac20a169870bcdc397a2465c06cfd90,503de0,5039e0,503be0,6fa,432c38,20,60,572390,5723b8,c8
89ac63f78215074b150eab559c179caf656751410ba2bd57e774d90c39d1ece7,500de0,5009e0,500be0,6fa,42fa48,20,50,56f390,56f3b8,c8
a130f992521a45764695256659885dcb80cb53650897c4091fb0a9de909fa0c8,504ee0,5050e0,504ce0,6fa,433c28,20,50,573390,5733b8,c8
